,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,40,AR,1643793302,61,-54.8,-68.3,5.81,11.32
1,punta arenas,100,PH,1643793126,78,8.9897,125.34,26.63,1.26
2,krasnoselkup,100,RU,1643793302,100,65.7,82.4667,-24.96,1.45
3,idritsa,98,RU,1643793302,93,56.3316,28.8988,-4.47,2.26
4,necochea,100,AR,1643793167,75,-38.5473,-58.7368,15.02,2.87
5,makakilo city,0,US,1643793159,72,21.3524,-158.0865,22.64,2.57
6,hambantota,33,LK,1643793303,56,6.1241,81.1185,29.02,6.86
7,gurupa,100,BR,1643793303,99,-1.405,-51.64,22.12,1.14
8,atuona,35,PF,1643793303,77,-9.8,-139.0333,25.8,8.73
9,meulaboh,57,ID,1643793158,63,4.1363,96.1285,29.14,2.72
10,kilindoni,91,TZ,1643793304,76,-7.9139,39.6668,27.47,2.91
11,manadhoo,5,MV,1643793304,69,5.7667,73.3833,28.29,6.51
12,bonga,92,ET,1643793304,36,7.2833,36.2333,26.5,0.4
13,rikitea,100,PF,1643793129,67,-23.1203,-134.9692,25.62,0.8
14,tessalit,17,ML,1643793305,16,20.1986,1.0114,18.52,7.91
15,mys shmidta,98,RU,1643793169,93,62.0589,48.6201,-3.04,3.17
16,grand river south east,51,US,1643793142,45,38.8755,-109.5012,-3.56,3.47
17,ribeira grande,0,ES,1643793165,62,42.7461,-8.4439,12.03,3.6
18,albany,100,US,1643793135,76,42.6001,-73.9662,-0.03,1.56
19,hilo,20,US,1643793127,81,19.7297,-155.09,20.14,3.09
20,arlit,4,NE,1643793150,11,18.7369,7.3853,21.77,4.69
21,hermanus,1,ZA,1643793151,70,-34.4187,19.2345,26.56,7.39
22,fare,6,PF,1643793306,76,-16.7,-151.0167,27.06,8.48
23,bathsheba,20,BB,1643793154,78,13.2167,-59.5167,25.34,5.66
24,sumkino,100,RU,1643793306,83,58.1108,68.3244,-4.18,5.17
25,port alfred,99,CD,1643793130,89,-7.0349,29.7638,22.86,0.44
26,shimoda,75,JP,1643793307,49,34.6667,138.95,7.98,7.02
