,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,99,NZ,1643614523,78,-46.1927,168.8643,18.04,0.63
1,kodiak,0,US,1643614524,79,57.79,-152.4072,-7.27,3.6
2,torbay,87,CA,1643614524,83,47.6666,-52.7314,1.99,2.68
3,puerto ayora,0,ES,1643614525,68,36.5939,-6.233,6.81,2.06
4,tiksi,100,RU,1643614525,98,71.6872,128.8694,-24.06,1.68
5,sao filipe,0,IN,1643614525,14,20.5113,76.2129,27.89,3.59
6,hobyo,100,SO,1643614525,69,5.3505,48.5268,27.27,7.96
7,barrow,100,US,1643614525,77,71.2906,-156.7887,-20.99,7.72
8,bengkulu,99,ID,1643614240,68,-3.8004,102.2655,29.25,4.34
9,thompson,75,CA,1643614526,84,55.7435,-97.8558,-20.91,1.54
10,busselton,39,AU,1643614526,32,-33.65,115.3333,26.16,9.04
11,ushuaia,100,AR,1643614526,75,-54.8,-68.3,4.81,8.23
12,mweka,100,CD,1643614527,93,-4.85,21.5667,21.66,0.44
13,new norfolk,51,LR,1643614527,92,6.6518,-10.5932,23.57,1.03
14,samarai,100,PG,1643614527,71,-10.6167,150.6667,28.58,4.85
15,banjarmasin,100,ID,1643614230,61,-3.3244,114.591,27.08,3.18
16,albany,6,US,1643614414,69,42.6001,-73.9662,-12.48,0.99
17,hamilton,0,US,1643614527,80,39.1834,-84.5333,-2.37,0.0
18,auki,100,SB,1643614528,88,-8.7676,160.7034,25.72,1.65
19,vaini,75,TO,1643614528,94,-21.2,-175.2,25.09,1.54
20,ndioum,99,SN,1643614529,13,16.5129,-14.6471,24.94,3.74
21,karratha,100,AU,1643614529,57,-20.7377,116.8463,32.1,10.59
22,klaksvik,98,FO,1643614529,68,62.2266,-6.589,1.51,14.0
23,yellowknife,75,CA,1643614529,86,62.456,-114.3525,-24.77,3.6
24,saskylakh,97,RU,1643614415,100,71.9167,114.0833,-32.15,1.28
25,atuona,4,PF,1643614529,76,-9.8,-139.0333,25.58,6.84
26,manyana,100,BW,1643614530,67,-23.4,21.7167,23.15,7.58
27,ayaviri,100,PE,1643614530,94,-14.8864,-70.5889,5.63,2.28
28,bethel,0,US,1643614530,73,41.3712,-73.414,-8.06,0.0
29,punta arenas,99,PH,1643614417,74,8.9897,125.34,27.84,1.22
30,balkanabat,6,TM,1643614531,41,39.5108,54.3671,10.69,2.25
31,camacupa,83,AO,1643614531,65,-12.0167,17.4833,21.55,1.94
32,qaanaaq,100,GL,1643614531,86,77.484,-69.3632,-21.84,2.61
33,khatanga,93,RU,1643614531,99,71.9667,102.5,-22.81,2.62
34,qinggang,51,CN,1643614531,94,46.6833,126.0833,-16.02,1.84
35,port lincoln,97,CD,1643614531,76,-7.0349,29.7638,24.37,0.98
36,dikson,100,RU,1643614532,93,73.5069,80.5464,-19.39,9.87
37,chase,100,CA,1643614532,98,50.8165,-119.6857,1.74,1.92
38,axim,100,GH,1643614532,77,4.8699,-2.2405,25.88,1.44
39,sechura,94,PE,1643614532,80,-5.5569,-80.8222,21.3,3.5
40,fare,13,PF,1643614533,75,-16.7,-151.0167,26.66,4.92
41,santarem,100,BR,1643614533,100,-2.4431,-54.7083,23.07,1.03
42,kuchera,0,IN,1643614533,20,26.9839,73.9719,25.04,3.03
43,pryazha,100,RU,1643614534,94,61.6926,33.6216,-5.43,3.52
44,hobart,10,AU,1643614534,66,-42.8794,147.3294,26.82,0.45
45,rikitea,100,PF,1643614534,62,-23.1203,-134.9692,25.12,2.18
46,butaritari,69,KI,1643614534,77,3.0707,172.7902,27.91,8.36
47,provideniya,90,RU,1643614534,82,64.3833,-173.3,-15.11,6.29
48,sidi ali,5,CF,1643614534,15,5.0829,19.8781,29.97,3.42
49,coihaique,75,CL,1643614535,61,-45.5752,-72.0662,9.34,1.03
50,kapaa,40,US,1643614416,72,22.0752,-159.319,21.99,3.09
51,bredasdorp,100,ZA,1643614417,73,-34.5322,20.0403,26.27,4.12
52,sao jose da coroa grande,0,IN,1643614535,14,20.5113,76.2129,27.89,3.59
